Date	Who	Cake	Job_group	Chocolate	Berries	Gender	Cheesecake	Temperature	Nationality_of_the_cake	Score
30-10-2024	Baker17	Basque cheese cake	Teacher	no	no	Female	yes	11	Spanish	9.22727272727273
23-10-2024	Baker16	Carrot cake with lime frosting	Student	no	no	Female	no	14	Europe	9.18181818181818
28-08-2024	Baker8	Chocolate dream cake	Student	yes	yes	Female	no	24	Dutch	8.83333333333333
04-09-2024	Baker9	Biscoff cheese cake	Teacher	no	no	Female	yes	29	Belgian	8.8
14-08-2024	Baker6	Apple pie with vanilla ice cream	PhD Student	no	no	Female	no	25	Swedish	8.7
16-10-2024	Baker15	Swiss Rolls	NBIS	no	no	Female	no	12	Hungary	8.69230769230769
21-08-2024	Baker7	Chocolate	Teacher	yes	yes	Female	no	20	Swedish	8.625
04-12-2024	Baker20	Mjuk pepparkake	Student	no	yes	Male	no	4	Swedish	8.625
19-06-2024	Baker3	Czech honey cake, medovnik	Administrative	no	no	Female	no	17	Czech	8.54545454545455
25-09-2024	Baker12	Apple-oat cake (tray)	Teacher	no	no	Male	no	15	Swedish	8.53333333333333
18-09-2024	Baker11	Lemon Merengue pie	PhD Student	no	no	Female	no	19	Swedish	8.45
07-08-2024	Baker5	Lemon Merengue berry pie	Teacher	no	yes	Female	no	24	Swedish	8.375
27-11-2024	Baker19	Tarragon Basque cheese cake	NBIS	no	no	Male	yes	7	Spanish	8.16666666666667
09-10-2024	Baker14	Tiramisu-Brownie	Research assistant	yes	no	Male	no	16	Italian	8.125
26-06-2024	Baker4	Strawberry-Sponge-Cake	PhD Student	no	no	Male	no	26	French	8.08333333333333
12-06-2024	Baker2	Rhubarb-Crumble-Cheesecake	Teacher	no	no	Female	yes	16	German	8.03571428571429
02-10-2024	Baker13	Cherry-Chocolate cake with vanilla creme	Teacher	yes	yes	Female	no	11	Germany	8
11-09-2024	Baker10	Linzer Torte	Research assistant	no	yes	Female	no	15	Austrian	7.83333333333333
05-06-2024	Baker1	Drømmekage	PhD Student	no	no	Male	no	18	Danish	7.76666666666667
13-11-2024	Baker18	Nougat mousse bought	Administrative	no	yes	Male	no	8	Spain	7.26923076923077
11-12-2024	Baker21	Saffron bun	Teacher	no	no	Female	no	1	Swedish	6.5
