date;room;start_time;end_time;topic;teacher;assistant;link_slide;link_lab;link_room
08/09/2021;Online;09:00;09:15;Welcome;MR;;Intro_of_NBIS.pdf;;
;;09:15;10:00;R Introduction lecture;LM;;slide_r_intro.html;;
;;10:00;10:15;Coffee Break;;;;;
;;10:15;11:30;R Introduction Lab;LM;MR,LV;slide_overview_r.html;lab_r.html;
;;11:30;12:00;Lecture on grammar, geoms, colors and aesthetics;LM;;slide_gg1.html;;
;;12:00;13:00;Lunch;;;;;
;;13:00;13:50;Lab on grammar, geoms, colors and aesthetics;LV;MR,LM;;lab_gg1.html;
;;13:50;14:10;Lecture on facets, barplots and errorbars;LM;;slide_gg2.html;;
;;14:10;15:00;Lab on facets, barplots and errorbars;LV;MR,LM;;lab_gg2.html;
;;15:00;15:15;Coffee Break;;;;;
;;15:15;15:40;Lecture on axes, labels, legends and themes;LM;;slide_gg3.html;;
;;15:40;17:00;Lab on axes, labels, legends and themes;LM;MR,LV;;lab_gg3.html;
09/09/2021;Online;09:00;09:30;Vector and bitmap images;MR;;Vector_Bitmap_Images.pdf;;
;;09:30;10:00;Lab on combining plots;LM;MR,LV;slide_gg4.html;lab_gg4.html;
;;10:00;10:15;Coffee Break;;;;;
;;10:15;10:40;Lecture on making PCA, heatmaps and others;MR;;;;
;;10:40;12:00;Lab on making PCA, heatmaps and others;MR;LM,LV;;lab_pca_hmap.html;
;;12:00;13:00;Lunch;;;;;
;;13:00;14:00;Lab on phylogenetic tree (optional);LM;MR,LV;;lab_phylo.html;
;;14:00;15:00;Lab on using maps on plots (optional);LM;MR,LV;;lab_ggmap.html;
;;15:00;15:15;Coffee Break;;;;;
;;15:15;17:00;Bring your own data;LM,MR,LV;Everyone;;;
10/09/2021;Online;09:00;09:30;Intro to R-Shiny apps;LM;;slide_shiny1.html;;
;;09:30;10:00;Intro lab on R-Shiny apps;LM;MR,LV;;lab_shiny1.html;
;;10:00;10:15;Coffee Break;;;;;
;;10:15;10:45;R-Shiny apps part-II lecture;LM;;slide_shiny2.html;;
;;10:45;12:00;R-Shiny apps part-II lab;LM;MR,LV;;lab_shiny2.html;
;;12:00;13:00;Lunch;;;;;
;;13:00;15:00;R-Shiny apps part-III lab;LM;MR,LV;;lab_shiny3.html;
;;15:00;15:15;Coffee Break;;;;;
;;15:15;15:40;Demo on hosting the R-Shiny app;LM;;slide_shiny3.html;;
;;15:40;16:40;Play-time with your own R-Shiny app;LM,MR,LV;Everyone;;;
;;16:40;17:00;Closing and feedback session;LM,MR,LV;Everyone;;;
